isabs,kappa,beta,N,num_experiments,num_steps,final_time,z_0,mean,var,spread_mean,shapiro,distribution
FALSE,4,2,10,500,5000,0.25,1.02j,0.001704422596,0.107510486,0.01533980336,"ShapiroResult(statistic=0.9979211688041687, pvalue=0.8050519824028015)",gennorm
TRUE,4,2,10,500,5000,0.25,1.02j,(0.0017044225960904632+0.623681345325328j),0.0227635592,6.24540504,"ShapiroResult(statistic=0.9773118495941162, pvalue=5.158698854756949e-07)",dweibull
FALSE,4,2,10,500,5000,0.25,3j,7.61E-05,0.003111464961,0.0006852338331,"ShapiroResult(statistic=0.9985812306404114, pvalue=0.9623053669929504)",ncf
TRUE,4,2,10,500,5000,0.25,3j,(7.613709256790588e-05+2.8391024894506645j),0.0002556414735,28.39107969,"ShapiroResult(statistic=0.6387887001037598, pvalue=4.223740692193832e-31)",fisk
FALSE,8,1,10,500,5000,0.25,1.02j,0.001763431659,0.1098311942,0.01587088493,"ShapiroResult(statistic=0.9966005682945251, pvalue=0.3735596835613251)",rice
TRUE,8,1,10,500,5000,0.25,1.02j,(0.0017634316593365936+0.6329572675966267j),0.04784915591,6.3382523,"ShapiroResult(statistic=0.9453287124633789, pvalue=1.2829742693579171e-12)",dgamma
FALSE,8,1,10,500,5000,0.25,3j,-0.0002086336052,0.003289824348,-0.001877702447,"ShapiroResult(statistic=0.9946582317352295, pvalue=0.07944265753030777)",gennorm
TRUE,8,1,10,500,5000,0.25,3j,(-0.00020863360518293806+2.84065649439577j),0.001212692177,28.40662285,"ShapiroResult(statistic=0.6112848520278931, pvalue=5.351522079964548e-32)",genhyperbolic
FALSE,4,2,50,500,5000,0.25,1.02j,0.0005252738737,0.3780274605,0.02573841981,"ShapiroResult(statistic=0.9957597255706787, pvalue=0.1966245025396347)",exponweib
TRUE,4,2,50,500,5000,0.25,1.02j,(0.0005252738737490459+0.6237479744874016j),0.05640942587,31.19345483,"ShapiroResult(statistic=0.9550101161003113, pvalue=3.263488437821316e-11)",fisk
FALSE,4,2,50,500,5000,0.25,3j,0.000149862828,0.01198604435,0.007343278573,"ShapiroResult(statistic=0.9951373934745789, pvalue=0.11842180043458939)",t
TRUE,4,2,50,500,5000,0.25,3j,(0.00014986282801460982+2.839259908966332j),0.00214017235,141.9630377,"ShapiroResult(statistic=0.5633772015571594, pvalue=1.9055874636332792e-33)",genhyperbolic
FALSE,8,1,50,500,5000,0.25,1.02j,0.0004405167375,0.3568406328,0.02158532014,"ShapiroResult(statistic=0.9944507479667664, pvalue=0.06675107777118683)",dweibull
TRUE,8,1,50,500,5000,0.25,1.02j,(0.00044051673746228477+0.6373147230307628j),0.2239045728,31.87133281,"ShapiroResult(statistic=0.9632718563079834, pvalue=7.544224134292676e-10)",genhyperbolic
FALSE,8,1,50,500,5000,0.25,3j,-0.0001603607465,0.01291112032,-0.007857676579,"ShapiroResult(statistic=0.9980337619781494, pvalue=0.8398092985153198)",gennorm
TRUE,8,1,50,500,5000,0.25,3j,(-0.0001603607465104276+2.8415504984038553j),0.01529103428,142.0775704,"ShapiroResult(statistic=0.8168231844902039, pvalue=1.9567566958540552e-23)",genhyperbolic
